The	﻿the
die	die
Brille:	brille:
"""Teufel!"	"""teufel"
Gut	gut
war	war
deine	deine
"Wahl!"""	"wahl!"""
Und	und
er	er
streckt	streckt
die	die
Arme	arme
aus,	aus
und	und
das	das
Bräutchen	bräutchen
nimmt	nimmt
verlegen	verlegen
seinen	seinen
Kuß	kuß
und	und
seinen	seinen
Segen....	segen
Davon	davon
weiß	weiß
das	das
alte	alte
Haus.	haus
NOCH	noch
EINES	eines
(5)	(5)
Auch	auch
dem	dem
blonden	blonden
Kinde	kinde
kam	kam
es	es
In	in
sein	sein
Herz,	herz
sein	sein
waldseereines,	waldseereines
wie	wie
das	das
dunkle	dunkle
Ahnen	ahnen
eines	eines
großen	großen
Glückes	glückes
oder	oder
Grames.	grames
Und	und
die	die
Mutter	mutter
ließ	ließ
das	das
Rädchen	rädchen
"stocken.--""Kind,"	"stocken.--""kind"
was	was
macht	macht
dich	dich
"leiden?"""	"leiden?"""
Stürmisch	stürmisch
schluchzend	schluchzend
schwieg	schwieg
das	das
Mädchen:	mädchen:
doch	doch
verstanden	verstanden
sich	sich
die	die
beiden.	beiden
Kurz	kurz
darauf:	darauf:
Am	am
Pförtchen	pförtchen
pochte	pochte
junger	junger
"Herr.--""Wollt"	"herr.--""wollt"
ihr	ihr
"euch?""--Pause.--"	"euch?""--pause.--"
Ob!--Wer	ob!--wer
da	da
noch	noch
fragen	fragen
mochte!?--	mochte!?--
So	so
geschahs	geschahs
im	im
alten	alten
Hause.	hause
UND	und
DAS	das
LETZTE	letzte
(6)	(6)
Still	still
heut	heut
die	die
Stube.--Weiß	stube.--weiß
wie	wie
Kalk	kalk
ist	ist
Frauchens	frauchens
Antlitz.	antlitz
Müd	müd
und	und
lustlos	lustlos
ihr	ihr
feuchtes	feuchtes
Auge;	auge;
halb	halb
bewußtlos	bewußtlos
lehnt	lehnt
sie	sie
bei	bei
Vaters	vaters
Katafalk.	katafalk
Zuseiten	zuseiten
ihr	ihr
der	der
Gatte	gatte
kann	kann
sie	sie
trösten	trösten
mehr	mehr
in	in
keiner	keiner
Weise;	weise;
nun	nun
faßt	faßt
er	er
ihre	ihre
Hände	hände
leise	leise
und	und
sieht	sieht
sie	sie
ernst	ernst
und	und
bittend	bittend
an.	an
"""Mein"	"""mein"
Mütterchen,	mütterchen
nimm	nimm
diesen	diesen
"Strauß!"""	"strauß!"""
tönt	tönt
türher	türher
hell	hell
das	das
Wort	wort
des	des
Kleinen;	kleinen;
da	da
glimmt	glimmt
ein	ein
Lächeln	lächeln
durch	durch
ihr	ihr
Weinen,	weinen
und	und
Trost	trost
geht	geht
durch	durch
das	das
alte	alte
Haus.	haus
IM	im
ERKERSTÜBCHEN	erkerstübchen
(7)	(7)
Nicht	nicht
zu	zu
sehn	sehn
das	das
Alltagstreiben,	alltagstreiben
flieh	flieh
ich--wie	ich--wie
wenn	wenn
ich	ich
ein	ein
Strauß	strauß
war,--	war,--
in	in
das	das
alte,	alte
alte	alte
Haus	haus
her;	her;
lang	lang
dann	dann
seh	seh
ich	ich
nicht	nicht
hinaus	hinaus
mehr	mehr
durch	durch
die	die
breit	breit
verbleiten	verbleiten
Scheiben.	scheiben
Schlichtheit	schlichtheit
war	war
der	der
Väter	väter
Aussaat,	aussaat
Glück	glück
die	die
Frucht,	frucht
die	die
sie	sie
gefunden;	gefunden;
sitz	sitz
so	so
träumend	träumend
manche	manche
Stunden	stunden
dort	dort
im	im
Polsterstuhl,	polsterstuhl
im	im
runden,	runden
mitten	mitten
in	in
Urväterhausrat.	urväterhausrat
DER	der
NÖVEMBERTAG	növembertag
Alter	alter
Herbst	herbst
vermag	vermag
den	den
Tag	tag
zu	zu
knebeln,	knebeln
seine	seine
tausend	tausend
Jubelstimmen	jubelstimmen
schweigen;	schweigen;
hoch	hoch
vom	vom
Domturm	domturm
wimmern	wimmern
gar	gar
so	so
eigen	eigen
Sterbeglocken	sterbeglocken
in	in
Novembernebeln.	novembernebeln
Auf	auf
den	den
nassen	nassen
Dächern	dächern
liegt	liegt
verschlafen	verschlafen
weißes	weißes
Dunstlicht;	dunstlicht;
und	und
mit	mit
kalten	kalten
Händen	händen
greift	greift
der	der
Sturm	sturm
in	in
des	des
Kamines	kamines
Wänden	wänden
eines	eines
Totenkarmens	totenkarmens
Schlußoktaven.	schlußoktaven
IM	im
STRAßEN	straßen
KAPELLCHEN	kapellchen
Bei	bei
St.	st
Loretto	loretto
da	da
brennt	brennt
ein	ein
Licht	licht
vorm	vorm
Bilde	bilde
im	im
Straßenkapellchen;	straßenkapellchen;
und	und
um	um
das	das
Wandbild	wandbild
schmiegen	schmiegen
sich	sich
dicht	dicht
Blechblumen	blechblumen
mit	mit
farbigen	farbigen
Kelchen.	kelchen
Die	die
Heiligen	heiligen
machen	machen
ein	ein
übel	übel
Gesicht;	gesicht;
denn	denn
der	der
Sturmwind,	sturmwind
der	der
hastige	hastige
Knab,	knab
hat	hat
nicht	nicht
Achtung	achtung
für	für
sie;	sie;
bei	bei
Loretto	loretto
das	das
Licht	licht
schaut	schaut
fromm	fromm
in	in
den	den
dämmernden	dämmernden
Sabbat.	sabbat
DAS	das
KLOSTER	kloster
Im	im
Dämmerdustgeschwel	dämmerdustgeschwel
ist	ist
schon	schon
die	die
Stadt	stadt
zerronnen	zerronnen
hoch	hoch
steht	steht
das	das
Haus	haus
der	der
Nonnen	nonnen
des	des
Ordens	ordens
von	von
Carmel.	carmel
Der	der
Abend	abend
hüpft	hüpft
hangab	hangab
vorbei	vorbei
mit	mit
Feuergarben	feuergarben
und	und
windet	windet
tausend	tausend
Farben	farben
um	um
jeden	jeden
Fensterstab.	fensterstab
Er	er
schmückt	schmückt
das	das
düstre	düstre
Haus	haus
umsonst	umsonst
mit	mit
Lichtgeglänze;	lichtgeglänze;
So	so
sehen	sehen
frische	frische
Kränze	kränze
auf	auf
Leichensteinen	leichensteinen
aus.	aus
BEI	bei
DEN	den
KAPUZINERN	kapuzinern
Es	es
hat	hat
der	der
Pater	pater
Guardian	guardian
vom	vom
Klosterschnaps	klosterschnaps
mir	mir
angeboten;	angeboten;
ich	ich
kenn	kenn
ihn	ihn
schon,	schon
den	den
dunkelroten,	dunkelroten
der	der
alle	alle
Toten	toten
wecken	wecken
kann.	kann
Der	der
Pater	pater
sucht	sucht
den	den
Schlüssel,	schlüssel
klein,	klein
dort,	dort
wo	wo
des	des
Sacktuchs	sacktuchs
Zipfe	zipfe
blauten,	blauten
und	und
holt	holt
den	den
Schatz,	schatz
den	den
selbstgebrauten,	selbstgebrauten
hervor	hervor
aus	aus
dem	dem
Reliquienschrein.	reliquienschrein
Und	und
wie	wie
er	er
einschenkt,	einschenkt
lacht	lacht
er	er
feist	feist
und	und
spricht:	spricht:
"""Zu"	"""zu"
Staub	staub
sind	sind
die	die
Gebeine,	gebeine
die	die
einstens	einstens
ruhten	ruhten
in	in
dem	dem
Schreine,	schreine
doch	doch
uns	uns
erhalten	erhalten
blieb----der	blieb----der
"Geist!"""	"geist!"""
ABEND	abend
Einsam	einsam
hinterm	hinterm
letzten	letzten
Haus	haus
geht	geht
die	die
rote	rote
Sonne	sonne
schlafen,	schlafen
und	und
in	in
ernste	ernste
Schlußoktaven	schlußoktaven
klingt	klingt
des	des
Tages	tages
Jubel	jubel
aus.	aus
Lose	lose
Lichter	lichter
haschen	haschen
spät	spät
noch	noch
sich	sich
auf	auf
den	den
Dächerkanten,	dächerkanten
wenn	wenn
die	die
Nacht	nacht
schon	schon
Diamanten	diamanten
in	in
die	die
blauen	blauen
Fernen	fernen
sät.	sät
JAR.	jar
VRCHLICKÝ	vrchlický
Ich	ich
lehn	lehn
im	im
Armstuhl,	armstuhl
im	im
bequemen,	bequemen
wo	wo
oft	oft
ich	ich
Ungemach	ungemach
vergaß,	vergaß
müd	müd
nicken	nicken
krause	krause
Chrysanthemen	chrysanthemen
im	im
hohen	hohen
