The	﻿the
den	den
Äthern	äthern
stand	stand
kindisch	kindisch
lächelnd	lächelnd
schon	schon
ein	ein
blasser	blasser
Stern.	stern
Der	der
matte	matte
Tag	tag
ging	ging
sterbend	sterbend
zu	zu
den	den
Vätern,	vätern
und	und
eine	eine
Dohle	dohle
schrie	schrie
von	von
fern--	fern--
XVIII	xviii
Im	im
Frühling	frühling
oder	oder
im	im
Traume	traume
bin	bin
ich	ich
dir	dir
begegnet,	begegnet
einst,	einst
und	und
jetzt	jetzt
gehn	gehn
wir	wir
zusamm	zusamm
durch	durch
den	den
Herbsttag,	herbsttag
und	und
du	du
drückst	drückst
mir	mir
die	die
Hand	hand
und	und
weinst.	weinst
Weinst	weinst
du	du
ob	ob
der	der
jagenden	jagenden
Wolken?	wolken?
Ob	ob
der	der
blutroten	blutroten
Blätter?	blätter?
Kaum.	kaum
Ich	ich
fühl	fühl
es:	es:
du	du
warst	warst
einmal	einmal
glücklich	glücklich
im	im
Frühling	frühling
oder	oder
im	im
Traum....	traum
XIX	xix
Sie	sie
hatte	hatte
keinerlei	keinerlei
Geschichte,	geschichte
ereignislos	ereignislos
ging	ging
Jahr	jahr
um	um
Jahr--	jahr--
auf	auf
einmal	einmal
kams	kams
mit	mit
lauter	lauter
Lichte....	lichte
die	die
Liebe	liebe
oder	oder
was	was
das	das
war.	war
Dann	dann
plötzlich	plötzlich
sah	sah
sies	sies
bang	bang
zerrinnen,	zerrinnen
da	da
liegt	liegt
ein	ein
Teich	teich
vor	vor
ihrem	ihrem
Haus....	haus
So	so
wie	wie
ein	ein
Traum	traum
scheints	scheints
zu	zu
beginnen,	beginnen
und	und
wie	wie
ein	ein
Schicksal	schicksal
geht	geht
es	es
aus.	aus
XX	xx
Man	man
merkte:	merkte:
der	der
Herbst	herbst
kam.	kam
Der	der
Tag	tag
war	war
schnell	schnell
erstorben	erstorben
im	im
eigenen	eigenen
Blute.	blute
Im	im
Zwielicht	zwielicht
nur	nur
glimmte	glimmte
die	die
Blume	blume
noch	noch
grell	grell
auf	auf
der	der
Kleinen	kleinen
verbogenem	verbogenem
Hute.	hute
Mit	mit
ihrem	ihrem
zerschlissenen	zerschlissenen
Handschuh	handschuh
strich	strich
sie	sie
die	die
Hand	hand
mir	mir
schmeichelnd	schmeichelnd
und	und
leise.--	leise.--
Kein	kein
Mensch	mensch
in	in
der	der
Gasse	gasse
als	als
sie	sie
und	und
ich....	ich
Und	und
sie	sie
bangte:	bangte:
Du	du
reisest?	reisest?
"""Ich"	"""ich"
"reise""."	"reise"""
Da	da
stand	stand
sie,	sie
das	das
Köpfchen	köpfchen
voll	voll
Abschiedsnot	abschiedsnot
in	in
den	den
Stoff	stoff
meines	meines
Mantels	mantels
vergrabend....	vergrabend
Vom	vom
Hütchen	hütchen
nickte	nickte
die	die
Rose	rose
rot,	rot
und	und
es	es
lächelte	lächelte
müde	müde
der	der
Abend.	abend
XXI	xxi
Manchmal	manchmal
da	da
ist	ist
mir:	mir:
Nach	nach
Gram	gram
und	und
Müh	müh
will	will
mich	mich
das	das
Schicksal	schicksal
noch	noch
segnen,	segnen
wenn	wenn
mir	mir
in	in
feiernder	feiernder
Sonntagsfrüh	sonntagsfrüh
lachende	lachende
Mädchen	mädchen
begegne....	begegne
Lachen	lachen
hör	hör
ich	ich
sie	sie
gerne.	gerne
Lange	lange
dann	dann
liegt	liegt
mir	mir
das	das
Lachen	lachen
im	im
Ohr,	ohr
nie	nie
kann	kann
ichs,	ichs
wähn	wähn
ich,	ich
vergessen...	vergessen
Wenn	wenn
sich	sich
der	der
Tag	tag
hinterm	hinterm
Hange	hange
verlor,	verlor
will	will
ich	ich
mirs	mirs
singen	singen
...	
Indessen	indessen
singens	singens
schon	schon
oben	oben
die	die
Sterne....	sterne
XXII	xxii
Es	es
ist	ist
lang,--es	lang,--es
ist	ist
lang....	lang
wann--weiß	wann--weiß
ich	ich
gar	gar
nimmer	nimmer
zu	zu
sagen....	sagen
eine	eine
Glocke	glocke
klang,	klang
eine	eine
Lerche	lerche
sang--	sang--
und	und
ein	ein
Herz	herz
hat	hat
so	so
selig	selig
geschlagen.	geschlagen
Der	der
Himmel	himmel
so	so
blank	blank
überm	überm
Jungwaldhang,	jungwaldhang
der	der
Flieder	flieder
hat	hat
Blüten	blüten
getragen,--	getragen,--
und	und
im	im
Sonntagskleide	sonntagskleide
ein	ein
Mädchen,	mädchen
schlank,	schlank
das	das
Auge	auge
voll	voll
staunender	staunender
Fragen....	fragen
Es	es
ist	ist
lang,--es	lang,--es
ist	ist
lang....	lang
ADVENT	advent
(1898)	(1898)
ADVENT	advent
Es	es
treibt	treibt
der	der
Wind	wind
im	im
Winterwalde	winterwalde
die	die
Flockenherde	flockenherde
wie	wie
ein	ein
Hirt,	hirt
und	und
manche	manche
Tanne	tanne
ahnt,	ahnt
wie	wie
balde	balde
sie	sie
fromm	fromm
und	und
lichterheilig	lichterheilig
wird,	wird
und	und
lauscht	lauscht
hinaus.	hinaus
Den	den
weißen	weißen
Wegen	wegen
streckt	streckt
sie	sie
die	die
Zweige	zweige
hin--bereit,	hin--bereit
und	und
wehrt	wehrt
dem	dem
Wind	wind
und	und
wächst	wächst
entgegen	entgegen
der	der
einen	einen
Nacht	nacht
der	der
Herrlichkeit.	herrlichkeit
GABEN	gaben
AN	an
VERSCHIEDENE	verschiedene
FREUNDE	freunde
Das	das
ist	ist
mein	mein
Streit:	streit:
Sehnsuchtgeweiht	sehnsuchtgeweiht
durch	durch
alle	alle
Tage	tage
Sehweifen,	sehweifen
Dann,	dann
stark	stark
und	und
breit,	breit
mit	mit
tausend	tausend
Wurzelstreifen	wurzelstreifen
rief	rief
in	in
das	das
Leben	leben
greifen--	greifen--
und	und
durch	durch
das	das
Leid	leid
weit	weit
aus	aus
dem	dem
Leben	leben
reifen,	reifen
weit	weit
aus	aus
der	der
Zeit!	zeit
Du	du
meine	meine
heilige	heilige
Einsamkeit,	einsamkeit
du	du
bist	bist
so	so
reich	reich
und	und
rein	rein
und	und
weit	weit
wie	wie
ein	ein
erwachender	erwachender
Garten.	garten
Meine	meine
heilige	heilige
Einsamkeit	einsamkeit
du--	du--
halte	halte
die	die
goldenen	goldenen
Türen	türen
zu,	zu
vor	vor
denen	denen
die	die
Wünsche	wünsche
warten.	warten
Der	der
Bach	bach
hat	hat
leise	leise
Melodien,	melodien
und	und
fern	fern
ist	ist
Staub	staub
und	und
Stadt;	stadt;
die	die
Wipfel	wipfel
winken	winken
her	her
und	und
hin	hin
und	und
machen	machen
mich	mich
so	so
matt.	matt
Der	der
Wald	wald
ist	ist
wild,	wild
die	die
Welt	welt
ist	ist
weit,	weit
mein	mein
Herz	herz
ist	ist
hell	hell
und	und
groß;	groß;
es	es
hält	hält
die	die
blasse	blasse
Einsamkeit	einsamkeit
mein	mein
Haupt	haupt
in	in
ihrem	ihrem
Schoß.	schoß
Ich	ich
liebe	liebe
vergessene	vergessene
Flurmadonnen,	flurmadonnen
die	die
ratlos	ratlos
warten	warten
auf	auf
irgendwen,	irgendwen
und	und
Mädchen,	mädchen
die	die
an	an
einsame	einsame
Bronnen,	bronnen
Blumen	blumen
im	im
Blondhaar,	blondhaar
träumen	träumen
gehn.	gehn
Und	und
Kinder,	kinder
die	die
in	in
die	die
Sonne	sonne
singen	singen
und	und
staunend	staunend
groß	groß
zu	zu
den	den
Sternen	sternen
sehn,	sehn
und	und
die	die
Tage,	tage
wenn	wenn
sie	sie
mir	mir
Lieder	lieder
bringen,	bringen
und	und
die	die
Nächte,	nächte
wenn	wenn
sie	sie
in	in
Blüten	blüten
stehn.	stehn
Warst	warst
du	du
ein	ein
Kind	kind
in	in
froher	froher
Schar,	schar
dann	dann
kannst	kannst
du's	du's
freilich	freilich
nicht	nicht
erfassen,	erfassen
wie	wie
es	es
mir	mir
kam,	kam
den	den
Tag	tag
zu	zu
hassen	hassen
als	als
ewig	ewig
feindliche	feindliche
Gefahr.	gefahr
Ich	ich
war	war
so	so
fremd	fremd
und	und
so	so
verlassen,	verlassen
daß	daß
ich	ich
nur	nur
tief	tief
in	in
blütenblassen	blütenblassen
Mainächten	mainächten
heimlich	heimlich
selig	selig
war.	war
Am	am
Tag	tag
trug	trug
ich	ich
den	den
engen	engen
Ring	ring
der	der
feigen	feigen
Pflicht	pflicht
in	in
frommer	frommer
Weise.	weise
Doch	doch
abends	abends
schlich	schlich
ich	ich
aus	aus
dem	dem
Kreise,	kreise
mein	mein
kleines	kleines
Fenster	fenster
klirrte--kling--	klirrte--kling--
sie	sie
wußtens	wußtens
nicht.	nicht
Ein	ein
Schmetterling,	schmetterling
nahm	nahm
meine	meine
Sehnsucht	sehnsucht
ihre	ihre
Reise,	reise
weil	weil
sie	sie
die	die
weiten	weiten
Sterne	sterne
leise	leise
nach	nach
ihrer	ihrer
Heimat	heimat
fragen	fragen
ging.	ging
PFAUENFEDER:	pfauenfeder:
in	in
deiner	deiner
Feinheit	feinheit
sondergleichen,	sondergleichen
wie	wie
liebte	liebte
ich	ich
dich	dich
schon	schon
als	als
Kind.	kind
Ich	ich
hielt	hielt
dich	dich
für	für
ein	ein
Liebeszeichen,	liebeszeichen
das	das
sich	sich
an	an
silberstillen	silberstillen
Teichen	teichen
in	in
kühler	kühler
Nacht	nacht
die	die
Elfen	elfen
reichen,	reichen
wenn	wenn
alle	alle
Kinder	kinder
schlafen	schlafen
sind.	sind
Und	und
weil	weil
Großmütterchen,	großmütterchen
das	das
gute,	gute
mir	mir
oft	oft
von	von
Wünschegerten	wünschegerten
las,	las
so	so
träumte	träumte
ich,	ich
du	du
Zartgemute,	zartgemute
in	in
deinen	deinen
feinen	feinen
Fasern	fasern
flute	flute
die	die
kluge	kluge
Kraft	kraft
der	der
Rätselrute--	rätselrute--
und	und
suchte	suchte
dich	dich
im	im
Sommergras.	sommergras
Oft	oft
denk	denk
ich	ich
auf	auf
der	der
Alltagsreise	alltagsreise
der	der
Nacht,	nacht
und	und
daß	daß
ein	ein
Traum	traum
mir	mir
frommt,	frommt
der	der
mir	mir
mit	mit
Lippen,	lippen
kühl	kühl
und	und
leise,	leise
die	die
schwüle	schwüle
Stirne	stirne
küssen	küssen
kommt.	kommt
Dann	dann
sehn	sehn
ich	ich
mich,	mich
die	die
Sterne	sterne
glänzen	glänzen
zu	zu
sehn.--Der	sehn.--der
Tag	tag
ist	ist
karg	karg
und	und
klein,	klein
die	die
Nacht	nacht
ist	ist
weit,	weit
hat	hat
Silbergrenzen	silbergrenzen
und	und
könnte	könnte
eine	eine
Sage	sage
sein.	sein
DAMIT	damit
ICH	ich
GLÜCKLICH	glücklich
WÄRE--	wäre--
das	das
müßte	müßte
sein	sein
von	von
jenen	jenen
blanken	blanken
Lenztagen	lenztagen
einer,	einer
da	da
die	die
Kranken	kranken
man	man
vor	vor
die	die
dunklen	dunklen
Türen	türen
bringt.	bringt
Im	im
Flieder	flieder
ist	ist
ein	ein
Spatzenzanken,	spatzenzanken
weil	weil
keinem	keinem
rechter	rechter
Sang	sang
gelingt.	gelingt
Der	der
Bach,	bach
dem	dem
alle	alle
Bande	bande
sanken,	sanken
weiß	weiß
nicht,	nicht
was	was
tun	tun
vor	vor
Glück,	glück
und	und
springt	springt
bis	bis
aufwärts	aufwärts
zu	zu
den	den
Bretterplanken,	bretterplanken
dahinter	dahinter
Beete,	beete
kiesumringt,	kiesumringt
und	und
Blumenblühn	blumenblühn
und	und
Birkenschwanken.	birkenschwanken
Und	und
vor	vor
dem	dem
Häuschen,	häuschen
goldbezinkt,	goldbezinkt
um	um
das	das
der	der
Frühling	frühling
seine	seine
Ranken	ranken
wie	wie
liebeleise	liebeleise
Arme	arme
schlingt--	schlingt--
ein	ein
blondes	blondes
Kind,	kind
das	das
in	in
Gedanken	gedanken
das	das
schönste	schönste
meiner	meiner
Lieder	lieder
singt.	singt
An	an
manchem	manchem
Tag	tag
ist	ist
meine	meine
Seele	seele
still:	still:
Ein	ein
Gotteshaus,	gotteshaus
draus	draus
alle	alle
Beter	beter
gingen.	gingen
Ein	ein
Engel	engel
nur	nur
wehrt	wehrt
mit	mit
den	den
goldnen	goldnen
Schwingen	schwingen
dem	dem
Weihrauch,	weihrauch
der	der
mit	mit
seinen	seinen
leisen	leisen
Ringen	ringen
den	den
Jubel	jubel
seiner	seiner
Arme	arme
fesseln	fesseln
will.	will
Verträumte	verträumte
Heiligenbilder	heiligenbilder
dunkeln	dunkeln
drin	drin
in	in
ratlos-sehnendem	ratlos-sehnendem
Erhörenwollen:	erhörenwollen:
Sie	sie
warten	warten
auf	auf
den	den
Sonntag	sonntag
mit	mit
den	den
vollen	vollen
Gestühlen	gestühlen
und	und
dem	dem
großen	großen
Orgelrollen--	orgelrollen--
und	und
blasse	blasse
Ampeln	ampeln
schwanken	schwanken
her	her
und	und
hin.	hin
Nennt	nennt
ihr	ihr
das	das
Seele,	seele
was	was
so	so
zage	zage
zirpt	zirpt
in	in
euch?	euch?
Was,	was
wie	wie
der	der
Klang	klang
der	der
Narrenschellen,	narrenschellen
um	um
Beifall	beifall
bettelt	bettelt
und	und
um	um
Würde	würde
wirbt,	wirbt
und	und
endlich	endlich
arm	arm
ein	ein
armes	armes
Sterben	sterben
stirbt	stirbt
im	im
Weihrauchabend	weihrauchabend
gotischer	gotischer
Kapellen,--	kapellen,--
nennt	nennt
ihr	ihr
das	das
Seele?	seele?
Schau	schau
ich	ich
die	die
blaue	blaue
Nacht,	nacht
vom	vom
Mai	mai
verschneit,	verschneit
in	in
der	der
die	die
Welten	welten
weite	weite
Wege	wege
reisen,	reisen
mir	mir
ist:	ist:
ich	ich
trage	trage
ein	ein
Stück	stück
Ewigkeit	ewigkeit
in	in
meiner	meiner
Brust.	brust
Das	das
rüttelt	rüttelt
und	und
das	das
schreit	schreit
und	und
will	will
hinauf	hinauf
und	und
will	will
mir	mir
ihnen	ihnen
kreisen....	kreisen
Und	und
das	das
ist	ist
Seele.	seele
Die	die
hohen	hohen
Tannen	tannen
armen	armen
heiser	heiser
im	im
Winterschnee,	winterschnee
und	und
bauschiger	bauschiger
schmiegt	schmiegt
sich	sich
sein	sein
Glanz	glanz
um	um
alle	alle
Reiser.	reiser
Die	die
weißen	weißen
Wege	wege
werden	werden
leiser,	leiser
die	die
trauten	trauten
Stuben	stuben
lauschiger.	lauschiger
Da	da
singt	singt
die	die
Uhr,	uhr
die	die
Kinder	kinder
zittern:	zittern:
Im	im
grünen	grünen
Ofen	ofen
kracht	kracht
ein	ein
Scheit	scheit
und	und
stürzt	stürzt
in	in
lichten	lichten
Lohgewittern,--	lohgewittern,--
und	und
draußen	draußen
wächst	wächst
im	im
Flockenflittern	flockenflittern
der	der
weiße	weiße
Tag	tag
zur	zur
Ewigkeit.	ewigkeit
Der	der
Abend	abend
kommt	kommt
von	von
weit	weit
gegangen	gegangen
durch	durch
den	den
verschneiten,	verschneiten
leisen	leisen
Tann.	tann
Dann	dann
preßt	preßt
er	er
seine	seine
Winterwangen	winterwangen
an	an
alle	alle
Fenster	fenster
lauschend	lauschend
an.	an
Und	und
stille	stille
wird	wird
ein	ein
jedes	jedes
Haus;	haus;
die	die
Alten	alten
in	in
den	den
Sesseln	sesseln
sinnen,	sinnen
die	die
Mütter	mütter
sind	sind
wie	wie
Königinnen,	königinnen
die	die
Kinder	kinder
wollen	wollen
nicht	nicht
beginnen	beginnen
mit	mit
ihrem	ihrem
Spiel.	spiel
Die	die
Mägde	mägde
spinnen	spinnen
nicht	nicht
mehr.	mehr
Der	der
Abend	abend
horcht	horcht
nach	nach
innen	innen
und	und
innen	innen
horchen	horchen
sie	sie
hinaus.	hinaus
Das	das
Wetter	wetter
war	war
grau	grau
und	und
grell;	grell;
der	der
Abend	abend
ist	ist
lichter	lichter
und	und
leiser.	leiser
Sicher	sicher
kommt	kommt
irgendein	irgendein
Kaiser:	kaiser:
Alle	alle
Häuser	häuser
sind	sind
hell.	hell
Und	und
so	so
festlich	festlich
und	und
weich	weich
war	war
das	das
Abendgebimmel;	abendgebimmel;
die	die
Alten	alten
schaun	schaun
in	in
den	den
Himmel,	himmel
und	und
die	die
Kinder	kinder
sind	sind
reich.	reich
Sonne	sonne
verlodert	verlodert
am	am
Himmelsrain.	himmelsrain
Durch	durch
ernteverarmte	ernteverarmte
Krumen	krumen
waten	waten
die	die
Weiber	weiber
feldein.	feldein
An	an
den	den
verschimmernden	verschimmernden
Schienenreihn	schienenreihn
beim	beim
Bahnhüterhäuschen,	bahnhüterhäuschen
sommerallein,	sommerallein
sinnen	sinnen
Sonnenblumen.	sonnenblumen
Du	du
arme,	arme
alte	alte
Kapelle	kapelle
mit	mit
deiner	deiner
verstaubten	verstaubten
Zier--	zier--
der	der
Frühling	frühling
baut	baut
eine	eine
helle	helle
Kirche	kirche
neben	neben
dir.	dir
Viel	viel
frierende	frierende
Frauen	frauen
hinken	hinken
in	in
deine	deine
Weihrauchruh,	weihrauchruh
draußen	draußen
die	die
Kinder	kinder
winken	winken
allen	allen
Rosen	rosen
zu.	zu
Die	die
Mädchen	mädchen
singen:	singen:
Alle	alle
Mädchen	mädchen
erwarten	erwarten
wen,	wen
wenn	wenn
die	die
Bäume	bäume
in	in
Blüten	blüten
stehn;	stehn;
wir	wir
müssen	müssen
immer	immer
nähn	nähn
und	und
nähn,	nähn
bis	bis
uns	uns
die	die
Augen	augen
brennen.	brennen
Unser	unser
Singen	singen
wird	wird
nimmer	nimmer
froh,	froh
fürchten	fürchten
uns	uns
vor	vor
dem	dem
Frühling	frühling
so:	so:
Finden	finden
wir	wir
einmal	einmal
ihn	ihn
irgendwo,	irgendwo
wird	wird
er	er
uns	uns
nicht	nicht
mehr	mehr
erkennen.	erkennen
Lehnen	lehnen
im	im
Abendgarten	abendgarten
beide,	beide
lauschen	lauschen
lange	lange
nach	nach
irgendwo.	irgendwo
"""Du"	"""du"
hast	hast
Hände	hände
wie	wie
weiße	weiße
"Seide...."""	"seide...."""
Und	und
da	da
staunt	staunt
sie:	sie:
"""Du"	"""du"
sagst	sagst
das	das
"so...."""	"so...."""
Etwas	etwas
ist	ist
in	in
den	den
Garten	garten
getreten,	getreten
und	und
das	das
Gitter	gitter
hat	hat
nicht	nicht
geknarrt,	geknarrt
und	und
die	die
Rosen	rosen
in	in
allen	allen
Beeten	beeten
heben	heben
vor	vor
seiner	seiner
Gegenwart.	gegenwart
Eine	eine
der	der
weißen	weißen
Vestageweihten	vestageweihten
lächelte	lächelte
Gnade	gnade
dem	dem
Todbereiten,	todbereiten
löste	löste
ihm	ihm
von	von
der	der
Stirn	stirn
die	die
Schmach.	schmach
Dann	dann
sehnte	sehnte
sie	sie
wie	wie
eine	eine
Sklavin	sklavin
dem	dem
Schreiten	schreiten
des	des
todbefreiten,	todbefreiten
Schulter	schulter
breiten	breiten
Epheben	epheben
nach.	nach
Im	im
Kreise	kreise
der	der
Barone	barone
der	der
König	könig
ritt	ritt
zur	zur
Jagd.	jagd
Ihm	ihm
wohnte	wohnte
in	in
roter	roter
Krone	krone
ein	ein
einsamer	einsamer
Smaragd.	smaragd
Da	da
gibts	gibts
unter	unter
hellen	hellen
Hufen	hufen
Wege	wege
so	so
weit	weit
und	und
weiß;	weiß;
keiner	keiner
hört	hört
Hilfe	hilfe
rufen,	rufen
und	und
der	der
Mittag	mittag
ist	ist
heiß....	heiß
Ob	ob
einer	einer
den	den
König	könig
erkannte?	erkannte?
Die	die
Dohlen	dohlen
im	im
Abend	abend
schrien.	schrien
Die	die
allerkühnste	allerkühnste
spannte	spannte
den	den
Flug	flug
schon	schon
über	über
Ihn:	ihn:
Auf	auf
des	des
Königs	königs
Stirne	stirne
brannte	brannte
ein	ein
einsamer	einsamer
Rubin.	rubin
Ein	ein
weißes	weißes
Schloß	schloß
in	in
weißer	weißer
Einsamkeit.	einsamkeit
In	in
blanken	blanken
Sälen	sälen
schleichen	schleichen
leise	leise
Schauer.	schauer
Todkrank	todkrank
krallt	krallt
das	das
Gerank	gerank
sich	sich
an	an
die	die
Mauer,	mauer
und	und
alle	alle
Wege	wege
weltwärts	weltwärts
sind	sind
verschneit.	verschneit
Darüber	darüber
hängt	hängt
der	der
Himmel	himmel
brach	brach
und	und
breit.	breit
Es	es
blinkt	blinkt
das	das
Schloß.	schloß
Und	und
längs	längs
den	den
weißer	weißer
Wänden	wänden
hilft	hilft
sich	sich
die	die
Sehnsucht	sehnsucht
fort	fort
mit	mit
irren	irren
Händen....	händen
Die	die
Uhren	uhren
stehn	stehn
im	im
Schloß:	schloß:
es	es
starb	starb
die	die
Zeit.	zeit
Irgendwo	irgendwo
muß	muß
es	es
Paläste	paläste
geben,	geben
drin	drin
die	die
Fenster	fenster
von	von
Staub	staub
verschnein;	verschnein;
in	in
der	der
Säle	säle
hallende	hallende
Reihn	reihn
tauchen	tauchen
tote	tote
Tage	tage
hinein:	hinein:
Gestalten	gestalten
wallen,	wallen
es	es
warnt	warnt
der	der
Schrein;	schrein;
und	und
kein	kein
lustiger	lustiger
Leuchterschein	leuchterschein
reicht	reicht
In	in
das	das
einsame	einsame
Seltsamsein....	seltsamsein
Dorten	dorten
wollen	wollen
wir	wir
Feste	feste
gehen--	gehen--
märchenallein.	märchenallein
Im	im
Schlosse	schlosse
mit	mit
den	den
roten	roten
Zinken	zinken
wär	wär
ich	ich
so	so
gern	gern
des	des
Abends	abends
Gast.	gast
Die	die
Fenster	fenster
glühn,	glühn
die	die
Falten	falten
sinken,	sinken
und	und
meine	meine
weißen	weißen
Wünsche	wünsche
winken	winken
mir	mir
aus	aus
dem	dem
lodernden	lodernden
Palast.	palast
Ich	ich
will	will
durch	durch
lange	lange
Hallen	hallen
schleichen	schleichen
und	und
in	in
die	die
tiefen	tiefen
Gärten	gärten
schaun,	schaun
die	die
über	über
alle	alle
Marken	marken
reichen.	reichen
Und	und
Frauen	frauen
lächeln	lächeln
an	an
den	den
Teichen,	teichen
und	und
in	in
den	den
Wiesen	wiesen
prahlen	prahlen
Pfaun....	pfaun
Einmal	einmal
möcht	möcht
ich	ich
dich	dich
wiederschauen,	wiederschauen
Park,	park
mit	mit
den	den
alten	alten
Lindenalleen,	lindenalleen
und	und
mit	mit
der	der
leisesten	leisesten
aller	aller
Frauen	frauen
zu	zu
dem	dem
heiligen	heiligen
Weiher	weiher
gehn.	gehn
Schimmernde	schimmernde
Schwäne	schwäne
in	in
prahlenden	prahlenden
Posen	posen
gleiten	gleiten
leise	leise
auf	auf
glänzendem	glänzendem
Glatt,	glatt
aus	aus
der	der
Tiefe	tiefe
tauchen	tauchen
die	die
Rosen	rosen
wie	wie
Sagen	sagen
einer	einer
versunkenen	versunkenen
Stadt.	stadt
Und	und
wir	wir
sind	sind
ganz	ganz
allein	allein
im	im
Garten,	garten
drin	drin
die	die
Blumen	blumen
wie	wie
Kinder	kinder
stehn,	stehn
und	und
wir	wir
lächeln	lächeln
und	und
lauschen	lauschen
und	und
warten,	warten
und	und
wir	wir
fragen	fragen
uns	uns
nicht,	nicht
auf	auf
wen....	wen
Es	es
kommt	kommt
in	in
prunkenden	prunkenden
Gebreiten	gebreiten
der	der
Abend	abend
wie	wie
ein	ein
leiser	leiser
Gott.	gott
Den	den
Rappen	rappen
vor!	vor
Jetzt	jetzt
will	will
ich	ich
reiten	reiten
durch	durch
purpurbunte	purpurbunte
Einsamkeiten	einsamkeiten
in	in
bügelleichtem	bügelleichtem
Träumertrott.	träumertrott
Ich	ich
atme	atme
tief.	tief
Ich	ich
werde	werde
Kaiser.	kaiser
Mein	mein
heiler	heiler
Helm	helm
ist	ist
losgeschnallt,	losgeschnallt
und	und
meine	meine
Stirne	stirne
streifen	streifen
Reiser	reiser
und	und
rauschen	rauschen
so.	so
Und	und
leiser,	leiser
leiser	leiser
hallt	hallt
Huf	huf
und	und
Ruf	ruf
im	im
roten	roten
Wald.	wald
Horch,	horch
verhallt	verhallt
nicht	nicht
ein	ein
scheuer	scheuer
Schrei	schrei
von	von
den	den
Hängen	hängen
her?	her?
Aus	aus
dem	dem
morschen	morschen
Klostergemäuer	klostergemäuer
kann	kann
der	der
Abend	abend
nicht	nicht
mehr.	mehr
Er	er
sucht	sucht
sich	sich
wund	wund
an	an
der	der
Wand.	wand
Und	und
mit	mit
hilfloser	hilfloser
Hand	hand
in	in
das	das
Säulengedränge,	säulengedränge
in	in
ewige	ewige
Gänge,	gänge
wirft	wirft
er	er
den	den
Brand.	brand
Feuer.--	feuer.--
In	in
schlichtem	schlichtem
Gewand	gewand
flieht	flieht
er,	er
der	der
Heimkehr	heimkehr
singender	singender
Heuer	heuer
leise	leise
gesellt,	gesellt
ins	ins
verlöschende	verlöschende
Land.	land
Der	der
König	könig
Abend	abend
weiß	weiß
sich	sich
schwach	schwach
und	und
satt,	satt
und	und
ihm	ihm
geschieht:	geschieht:
Er	er
schenkt	schenkt
sein	sein
Gold	gold
dem	dem
jungen	jungen
Bach,	bach
der	der
einem	einem
Hirtensingen	hirtensingen
nach	nach
in	in
Menschen	menschen
lande	lande
zieht.	zieht
Jetzt	jetzt
ist	ist
der	der
Bach	bach
ein	ein
Königskind.	königskind
Er	er
jubelt	jubelt
laut	laut
Alarm	alarm
und	und
gibt	gibt
den	den
wunden	wunden
Krumen	krumen
blind	blind
sein	sein
Gold.--Und	gold.--und
wo	wo
die	die
Hütten	hütten
sind,	sind
dort	dort
ist	ist
er	er
wieder	wieder
arm.	arm
Der	der
Tag	tag
entschlummert	entschlummert
leise,--	leise,--
ich	ich
walle	walle
menschenfern....	menschenfern
Wach	wach
sind	sind
im	im
weiten	weiten
Kreise	kreise
ich--und	ich--und
ein	ein
bleicher	bleicher
Stern.	stern
Sein	sein
Auge	auge
licht	licht
durchwoben	durchwoben
ruht	ruht
flimmernd	flimmernd
hell	hell
auf	auf
mir,	mir
er	er
scheint	scheint
am	am
Himmel	himmel
droben	droben
so	so
einsam,	einsam
wie	wie
ich	ich
hier....	hier
FAHRTEN	fahrten
VENEDIG	venedig
I	i
Fremdes	fremdes
Rufen.	rufen
Und	und
wir	wir
wählen	wählen
eine	eine
Gondel,	gondel
schwarz	schwarz
und	und
schlank:	schlank:
Leises	leises
Gleiten	gleiten
an	an
den	den
Pfählen	pfählen
einer	einer
Marmorstadt	marmorstadt
entlang.	entlang
Still.	still
Die	die
Schiffer	schiffer
nur	nur
erzählen	erzählen
sich.	sich
Die	die
Ruder	ruder
rauschen	rauschen
sacht,	sacht
und	und
aus	aus
Kirchen	kirchen
und	und
Kanälen	kanälen
winkt	winkt
uns	uns
eine	eine
fremde	fremde
Nacht.	nacht
Und	und
der	der
schwarze	schwarze
Pfad	pfad
wird	wird
leiser,	leiser
fernes	fernes
Ave	ave
weht	weht
die	die
Luft,--	luft,--
traun:	traun:
Ich	ich
bin	bin
ein	ein
toter	toter
Kaiser,	kaiser
und	und
sie	sie
lenken	lenken
mich	mich
zur	zur
Gruft.	gruft
II	ii
Immer	immer
ist	ist
mir,	mir
daß	daß
die	die
leisen	leisen
Gondeln	gondeln
durch	durch
Kanäle	kanäle
reisen	reisen
irgend	irgend
jemand	jemand
zum	zum
Empfang;	empfang;
denn	denn
das	das
Warten	warten
dauert	dauert
lang,	lang
und	und
das	das
Volk	volk
ist	ist
arm	arm
und	und
krank,	krank
und	und
die	die
Kinder	kinder
sind	sind
wie	wie
Waisen.	waisen
Lange	lange
harren	harren
die	die
Paläste	paläste
auf	auf
die	die
Herren,	herren
auf	auf
die	die
Gäste,	gäste
und	und
das	das
Volk	volk
will	will
Kronen	kronen
sehn.	sehn
Auf	auf
dem	dem
Markusplatze	markusplatze
stehn	stehn
möcht	möcht
ich	ich
oft	oft
und	und
irgendwen	irgendwen
fragen	fragen
nach	nach
dem	dem
fernen	fernen
Feste....	feste
III	iii
Mein	mein
Ruder	ruder
